Fecha,Hora,Demanda,Generación,Pronóstico,PML
13/03/2020,4,5710.5,11038,5464.83,338.84
13/03/2020,5,5830.5,11049.92,5468.25,341.59
13/03/2020,6,6003.83,11220.17,5544.17,351.08
13/03/2020,7,6095.67,11214.92,5711.42,364.22
13/03/2020,8,6398.75,11123.08,5884.58,363.15
13/03/2020,9,6680.58,11321.5,6050.25,387.57
13/03/2020,10,6783.08,11689.83,6150.92,342.68
13/03/2020,11,6904.67,11786.17,6332.17,368.74
13/03/2020,12,6985.33,11925.5,6432.83,381.72
13/03/2020,13,7105.08,12045.42,6535.42,401.09
13/03/2020,14,7128.25,12095.67,6626.5,383.53
13/03/2020,15,7117.08,12283.08,6744.92,398.34
13/03/2020,16,7105.67,12398,6777,408.02
13/03/2020,17,6979,12398.42,6768.92,371.8
13/03/2020,18,6736.25,12529.92,6635.08,346.73
13/03/2020,19,6743.25,12533.33,6493.75,365.79
13/03/2020,20,6756.67,12267.58,6540.67,331.62
13/03/2020,21,6726,12064.17,6510.25,361.75
13/03/2020,22,6676.17,11898.5,6414.42,356.36
13/03/2020,23,6612.42,11683.5,6316.17,337.2
14/03/2020,0,6513.83,11705.58,525.67,398.78
14/03/2020,1,6316.33,11634.75,5632.92,356.55
14/03/2020,2,6176.17,11314.92,6005.67,342.29
14/03/2020,3,6166.67,11221.67,5876.58,342.79
14/03/2020,4,6070.5,11046.92,5799.33,341.06
14/03/2020,5,5926.42,10938.92,5801.58,343.78
14/03/2020,6,5860.25,10876.67,5864.42,339.1
14/03/2020,7,5938.83,11003.42,5998.33,364.35
14/03/2020,8,6151.25,10406.5,6054,363.92
14/03/2020,9,6327.33,10427.17,6203.75,372.54
14/03/2020,10,6537.67,10452.42,6332.5,368.14
14/03/2020,11,6617.83,10625.33,6475,341.55
14/03/2020,12,6680.75,11087.75,6597.92,371.85
14/03/2020,13,6651.08,11191.75,6720.75,382.16
14/03/2020,14,6662.33,11264.58,6826.33,367.89
14/03/2020,15,6616.67,11331.58,6902.83,374.19
14/03/2020,16,6655,11257.42,6946.58,349.53
14/03/2020,17,6548.08,11248.17,6916.08,347.93
14/03/2020,18,6367.58,11383.42,6776.42,363.05
14/03/2020,19,6560.83,11757.25,6632.92,362.56
14/03/2020,20,6592.67,11728.83,6665.92,421.6
14/03/2020,21,6453.58,11812.75,6584.75,401.1
14/03/2020,22,6194.25,11546.08,6492.67,352.62
14/03/2020,23,6084.75,11520.33,6411.67,329.25
15/03/2020,0,5937.92,11231.25,533.75,360.04
15/03/2020,1,5758.33,10968.17,5697.08,344.54
15/03/2020,2,5656.83,10824.33,6090.33,360.67
15/03/2020,3,5551.42,10204.75,5950.67,361.77
15/03/2020,4,5439.92,9855.83,5852.83,356.5
15/03/2020,5,5433.08,9978.58,5819.33,401.34
15/03/2020,6,5308.5,9824.42,5817,395.86
15/03/2020,7,5337.75,9315.75,5833.5,380.21
15/03/2020,8,5305.58,8326.92,5876.25,336.7
15/03/2020,9,5379.92,7907.25,5997.33,326.19
15/03/2020,10,5440.5,8333.25,6160.17,305.1
15/03/2020,11,5550,8352.83,6317,301.86
15/03/2020,12,5588.5,8305.58,6411.58,303.75
15/03/2020,13,5597.25,8531.58,6451.08,308.92
15/03/2020,14,5541.83,9019.5,6443.92,312.16
15/03/2020,15,5518,9537.33,6392.58,312.79
15/03/2020,16,5439.33,10179.17,6306.42,332.7
15/03/2020,17,5324.17,10495.58,6263.25,330.99
15/03/2020,18,5164.25,10695.17,6227,360.43
15/03/2020,19,5422.42,11099.92,6230.42,607.42
15/03/2020,20,5455.75,11079.25,6423.5,546.37
15/03/2020,21,5470.33,10924.25,6427.25,540.16
15/03/2020,22,5417.33,10856.33,6316.92,588.34
15/03/2020,23,5255.83,10762.08,6145.67,392.99
16/03/2020,0,5110.58,10211.42,510.92,352.8
16/03/2020,1,4894.5,9605.83,5195.67,345.72
16/03/2020,2,4750.58,9232.67,5517.67,342.88
16/03/2020,3,4723,9049.83,5389.42,339.24
16/03/2020,4,4685.5,8644.5,5276.33,344.66
16/03/2020,5,4903.75,8436.83,5218.42,372.79
16/03/2020,6,4976.33,8227.5,5163.58,375.39
16/03/2020,7,4961.75,8232.5,5094.83,373.4
16/03/2020,8,5103.83,7986.08,5007.42,344.77
16/03/2020,9,5309.92,8170.92,5056.83,339.01
16/03/2020,10,5300.17,8717.42,5161,328.67
16/03/2020,11,5373.25,9300.83,5256.17,338.37
16/03/2020,12,5473.92,10027.42,5350.17,333.16
16/03/2020,13,5557,10044.33,5411.33,339.18
16/03/2020,14,5434.42,10262.42,5473.33,332.02
16/03/2020,15,5482.67,10428.75,5508.25,347.81
16/03/2020,16,5534.33,10481.42,5500,347.74
16/03/2020,17,5511.42,10070.58,5496.25,366.51
16/03/2020,18,5566.5,10837.67,5500.58,409.49
16/03/2020,19,5940.58,11323.08,5574.33,422.48
16/03/2020,20,6002.67,11325.5,5856,426.61
16/03/2020,21,5942.67,11401.67,5969,489.14
16/03/2020,22,5719.92,10759.83,5969.67,416.9
16/03/2020,23,5605.33,10023,5842.5,389.14
17/03/2020,0,5519.42,9473.08,485.92,360.87
17/03/2020,1,5452.58,9059.67,4465,357.87
17/03/2020,2,5408.58,8854.33,5217.75,349.45
17/03/2020,3,5255.33,8709.75,5105.08,348.96
17/03/2020,4,5242.67,8869.67,5008,353.16
17/03/2020,5,5372.67,9318.25,4968.83,368.8
17/03/2020,6,5622.67,10310.92,4982.5,420.7
17/03/2020,7,5883.92,10539.25,4985.83,520.25
17/03/2020,8,6147.58,10290.92,5014.42,521.29
17/03/2020,9,6367,10494.92,5116,534.29
17/03/2020,10,6462.29,10519.86,5162.71,425.41
17/03/2020,11,6371.25,10891.17,5861.83,449.74
17/03/2020,12,6472.67,11107.25,5963.75,503.64
17/03/2020,13,6487.42,11041.25,6059.08,481.46
17/03/2020,14,6475.58,11111.75,6142.17,489.46
17/03/2020,15,6484.33,11516.25,6182,495.12
17/03/2020,16,6487.92,11915.5,6208.83,490.57
17/03/2020,17,6338.33,12101.42,6219.25,396.72
17/03/2020,18,6182.33,11998.33,6153.33,432.38
17/03/2020,19,6703.71,11829,5812,696.65
17/03/2020,20,6729,11830.25,6156.67,696.85
